ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35190612,B,Aneuraceae,,Acrostolia,,"alata",,"","(Gottsche & Rabenh.) Trevis.",Accepted,,M,TRO,35190612,,"Mem. Reale Ist. Lombardo Sci., Ser. 3, Cl. Sci. Mat.","4: 431","431","1877"
tro-35190619,B,Aneuraceae,,Acrostolia,,"brevifolia",,"","(Gottsche) Trevis.",Accepted,,M,TRO,35190619,,"Mem. Reale Ist. Lombardo Sci., Ser. 3, Cl. Sci. Mat.","4: 431","431","1877"
tro-35190631,B,Aneuraceae,,Acrostolia,,"javanica",,"","Gottsche ex Trevis.",Unresolved,,L,TRO,35190631,,"Mem. Reale Ist. Lombardo Sci., Ser. 3, Cl. Sci. Mat.","4: 431","431","1877"
tro-35190625,B,Aneuraceae,,Acrostolia,,"virgata",,"","(Gottsche) Trevis.",Accepted,,M,TRO,35190625,,"Mem. Reale Ist. Lombardo Sci., Ser. 3, Cl. Sci. Mat.","4: 431","431","1877"
tro-35191860,B,Aneuraceae,,Aneura,,"alata",,"","Stephani",Unresolved,,L,TRO,35191860,,"Sp. Hepat.","1: 240","240","1899"
tro-35191886,B,Aneuraceae,,Aneura,,"allionii",,"","Stephani",Unresolved,,L,TRO,35191886,,"Sp. Hepat.","6: 20","20","1917"
tro-35213061,B,Aneuraceae,,Aneura,,"alterniloba",subsp.,"robusta","(Rodway) Hewson",Unresolved,,L,TRO,35213061,,"Proc. Linn. Soc. New South Wales","94: 187","187","1970"
tro-35190636,B,Aneuraceae,,Aneura,,"amazonica",,"","Spruce",Accepted,,M,TRO,35190636,,"Trans. & Proc. Bot. Soc. Edinburgh","15: 545","545","1885"
tro-35191888,B,Aneuraceae,,Aneura,,"amboinensis",,"","Stephani",Unresolved,,L,TRO,35191888,,"Sp. Hepat.","1: 219","219","1899"
tro-35191889,B,Aneuraceae,,Aneura,,"ambrosioides",,"","(Nees) Pearson",Accepted,,M,TRO,35191889,,"Hepat. Brit. Isl.","453","453","1902"
tro-35190637,B,Aneuraceae,,Aneura,,"andina",,"","Spruce",Accepted,,M,TRO,35190637,,"Trans. & Proc. Bot. Soc. Edinburgh","15: 548","548","1885"
tro-35191890,B,Aneuraceae,,Aneura,,"androgyna",,"","(Schiffner) Stephani",Accepted,,M,TRO,35191890,,"Sp. Hepat.","1: 216","216","1899"
tro-35191892,B,Aneuraceae,,Aneura,,"angusticosta",,"","Stephani",Unresolved,,L,TRO,35191892,,"Denkschr. Kaiserl. Akad. Wiss., Math.-Naturwiss. Kl.","88: 724","724","1913"
tro-35191895,B,Aneuraceae,,Aneura,,"attenuata",,"","Stephani",Unresolved,,L,TRO,35191895,,"Bull. Herb. Boissier","5: 844","844","1897"
tro-35191896,B,Aneuraceae,,Aneura,,"augustae",,"","Stephani",Unresolved,,L,TRO,35191896,,"Sp. Hepat.","6: 430","430","1923"
tro-35206781,B,Aneuraceae,,Aneura,,"australis",,"","Hook. f. & Lév.",Unresolved,,L,TRO,35206781,,"Choix Pl. Nouv.-Zél.","9","9","1846"
tro-35191900,B,Aneuraceae,,Aneura,,"baldwinii",,"","Stephani",Unresolved,,L,TRO,35191900,,"Sp. Hepat.","1: 253","253","1899"
tro-35191902,B,Aneuraceae,,Aneura,,"biflora",,"","Colenso",Unresolved,,L,TRO,35191902,,"Trans. & Proc. New Zealand Inst.","17: 262","262","1885"
tro-35191903,B,Aneuraceae,,Aneura,,"bipinnata",,"","(Sw.) Nees",Accepted,,M,TRO,35191903,,"Syn. Hepat.","500","500","1846"
tro-35191906,B,Aneuraceae,,Aneura,,"bipinnata",var.,"flabellifera","(Nees) Nees",Accepted,,L,TRO,35191906,,"Syn. Hepat.","500","500","1846"
tro-35200365,B,Aneuraceae,,Aneura,,"blasioides",,"","(Horik.) Furuki",Accepted,,M,TRO,35200365,,"J. Hattori Bot. Lab.","70: 311","311","1991"
tro-35191910,B,Aneuraceae,,Aneura,,"brasiliensis",,"","(Ångström) Stephani",Accepted,,M,TRO,35191910,,"Sp. Hepat.","1: 274","274","1899"
tro-35191912,B,Aneuraceae,,Aneura,,"breutelii",,"","Stephani",Unresolved,,L,TRO,35191912,,"Sp. Hepat.","1: 269","269","1899"
tro-35191914,B,Aneuraceae,,Aneura,,"brevissima",,"","Stephani",Unresolved,,L,TRO,35191914,,"Sp. Hepat.","6: 21","21","1917"
tro-35188371,B,Aneuraceae,,Aneura,,"caespitans",,"","Stephani",Accepted,,M,TRO,35188371,,"Bull. Soc. Roy. Bot. Belgique","30: 194","194","1891"
tro-35192007,B,Aneuraceae,,Aneura,,"calva",,"","Schiffner",Unresolved,,L,TRO,35192007,,"Forschungsr. Gazelle","4(4): 42","42","1889"
tro-35213059,B,Aneuraceae,,Aneura,,"cerebrata",,"","Hewson",Unresolved,,L,TRO,35213059,,"Proc. Linn. Soc. New South Wales","94: 185. pl. 11: 3, 7; pl. 12: 2","185","1970"
tro-35190638,B,Aneuraceae,,Aneura,,"cervicornis",,"","Spruce",Accepted,,M,TRO,35190638,,"Trans. & Proc. Bot. Soc. Edinburgh","15: 550","550","1885"
tro-35192012,B,Aneuraceae,,Aneura,,"chilensis",,"","Stephani",Unresolved,,L,TRO,35192012,,"Kongl. Svenska Vetensk. Acad. Handl., n.s.","46(9): 6","6","1911"
tro-35190641,B,Aneuraceae,,Aneura,,"ciliolata",,"","Spruce",Accepted,,M,TRO,35190641,,"Trans. & Proc. Bot. Soc. Edinburgh","15: 547. pl. 19","547","1885"
tro-35192014,B,Aneuraceae,,Aneura,,"cochleata",,"","(Hook. f. & Taylor) Stephani",Accepted,,M,TRO,35192014,,"Hedwigia","32: 137","137","1893"
tro-35192018,B,Aneuraceae,,Aneura,,"comosa",,"","Stephani",Unresolved,,L,TRO,35192018,,"Bot. Gaz.","15: 281","281","1890"
tro-35192020,B,Aneuraceae,,Aneura,,"congoana",,"","Stephani",Unresolved,,L,TRO,35192020,,"Sp. Hepat.","6: 23","23","1917"
tro-35192021,B,Aneuraceae,,Aneura,,"congoensis",,"","Stephani",Unresolved,,L,TRO,35192021,,"Sp. Hepat.","6: 23","23","1917"
tro-35192022,B,Aneuraceae,,Aneura,,"conimitra",,"","Stephani",Unresolved,,L,TRO,35192022,,"Sp. Hepat.","1: 259","259","1899"
tro-35192023,B,Aneuraceae,,Aneura,,"corbieri",,"","Stephani",Unresolved,,L,TRO,35192023,,"Sp. Hepat.","6: 23","23","1917"
tro-35192028,B,Aneuraceae,,Aneura,,"coriacea",,"","Stephani",Unresolved,,L,TRO,35192028,,"Sp. Hepat.","6: 23","23","1917"
tro-35192030,B,Aneuraceae,,Aneura,,"corralensis",,"","Stephani",Unresolved,,L,TRO,35192030,,"Sp. Hepat.","1: 252","252","1899"
tro-35192034,B,Aneuraceae,,Aneura,,"crassicrispa",,"","Stephani",Unresolved,,L,TRO,35192034,,"Kongl. Svenska Vetensk. Acad. Handl., n.s.","46(9): 6","6","1911"
tro-35192035,B,Aneuraceae,,Aneura,,"crassiretis",,"","(Schiffner) Stephani",Accepted,,M,TRO,35192035,,"Sp. Hepat.","1: 230","230","1899"
tro-35189508,B,Aneuraceae,,Aneura,,"crateriformis",,"","Furuki & D.G. Long",Accepted,,M,TRO,35189508,,"J. Bryol.","18: 281. f. 1–2","281","1994"
tro-35192036,B,Aneuraceae,,Aneura,,"crenulata",,"","Stephani",Unresolved,,L,TRO,35192036,,"Bull. Herb. Boissier","5: 85","85","1897"
tro-35192039,B,Aneuraceae,,Aneura,,"crispa",,"","Colenso",Unresolved,,L,TRO,35192039,,"Trans. & Proc. New Zealand Inst.","18: 252","252","1886"
tro-35192078,B,Aneuraceae,,Aneura,,"densa",,"","Stephani",Unresolved,,L,TRO,35192078,,"Sp. Hepat.","6: 24","24","1917"
tro-35192080,B,Aneuraceae,,Aneura,,"dentata",,"","Stephani",Unresolved,,L,TRO,35192080,,"J. Linn. Soc., Bot.","29: 264","264","1892"
tro-35192081,B,Aneuraceae,,Aneura,,"diablotina",,"","Stephani",Unresolved,,L,TRO,35192081,,"J. Linn. Soc., Bot.","30: 366","366","1895"
tro-35192082,B,Aneuraceae,,Aneura,,"dicrana",,"","Stephani",Unresolved,,L,TRO,35192082,,"Sp. Hepat.","1: 224","224","1899"
tro-35192083,B,Aneuraceae,,Aneura,,"digitiloba",,"","Spruce",Unresolved,,L,TRO,35192083,,"Hedwigia","27: 276","276","1888"
tro-35192092,B,Aneuraceae,,Aneura,,"diminuta",,"","(Schiffner) Stephani",Accepted,,M,TRO,35192092,,"Sp. Hepat.","1: 266","266","1899"
tro-35192093,B,Aneuraceae,,Aneura,,"dismieri",,"","Stephani",Unresolved,,L,TRO,35192093,,"Sp. Hepat.","6: 24","24","1917"
tro-35192094,B,Aneuraceae,,Aneura,,"distans",,"","Spruce",Unresolved,,L,TRO,35192094,,"J. Linn. Soc., Bot.","30: 367","367","1895"
tro-35213058,B,Aneuraceae,,Aneura,,"eachamensis",,"","Hewson",Unresolved,,L,TRO,35213058,,"Proc. Linn. Soc. New South Wales","94: 184. pl. 11: 6; pl. 12: 1","184","1970"
tro-35192102,B,Aneuraceae,,Aneura,,"emarginata",,"","Stephani",Unresolved,,L,TRO,35192102,,"Hedwigia","32: 20","20","1893"
tro-35192103,B,Aneuraceae,,Aneura,,"epibrya",,"","Colenso",Unresolved,,L,TRO,35192103,,"Trans. & Proc. New Zealand Inst.","18: 253","253","1886"
tro-35192104,B,Aneuraceae,,Aneura,,"erecta",,"","Stephani",Unresolved,,L,TRO,35192104,,"Sp. Hepat.","1: 268","268","1899"
tro-35192086,B,Aneuraceae,,Aneura,,"eriocaula",,"","(Hook.) Stephani",Accepted,,M,TRO,35192086,,"Hedwigia","32: 137","137","1893"
tro-35192105,B,Aneuraceae,,Aneura,,"erosa",,"","Stephani",Unresolved,,L,TRO,35192105,,"Hedwigia","32: 137","137","1893"
tro-35192106,B,Aneuraceae,,Aneura,,"erronea",,"","Stephani",Unresolved,,L,TRO,35192106,,"Sp. Hepat.","6: 20","20","1917"
tro-35202703,B,Aneuraceae,,Aneura,,"eskuchei",,"","Hässel de Menéndez",Accepted,,M,TRO,35202703,,"Veröff. Geobot. Inst. ETH Stiftung Rübel Zürich","91: 294. f. 1","294","1986"
tro-35192109,B,Aneuraceae,,Aneura,,"fendleri",,"","Stephani",Unresolved,,L,TRO,35192109,,"Hedwigia","32: 20","20","1893"
tro-35192111,B,Aneuraceae,,Aneura,,"filiformis",,"","Stephani",Unresolved,,L,TRO,35192111,,"Sp. Hepat.","6: 26","26","1917"
tro-35192113,B,Aneuraceae,,Aneura,,"flaccidissima",,"","(Schiffner) Stephani",Accepted,,M,TRO,35192113,,"Sp. Hepat.","1: 243","243","1899"
tro-35192114,B,Aneuraceae,,Aneura,,"flavescens",,"","Spruce",Unresolved,,L,TRO,35192114,,"Sp. Hepat.","6: 26","26","1917"
tro-35192115,B,Aneuraceae,,Aneura,,"fleischeri",,"","Stephani",Unresolved,,L,TRO,35192115,,"Sp. Hepat.","6: 26","26","1917"
tro-35192117,B,Aneuraceae,,Aneura,,"foreauana",,"","Stephani",Unresolved,,L,TRO,35192117,,"Sp. Hepat.","6: 26","26","1917"
tro-35192090,B,Aneuraceae,,Aneura,,"fucoidea",,"","(C. Massal.) Stephani",Accepted,,M,TRO,35192090,,"Sp. Hepat.","1: 221","221","1899"
tro-35200007,B,Aneuraceae,,Aneura,,"fuscescens",,"","Stephani",Unresolved,,L,TRO,35200007,,"Hedwigia","32: 21","21","1893"
tro-35206609,B,Aneuraceae,,Aneura,,"gemmifera",,"","Furuki",Accepted,,M,TRO,35206609,,"J. Hattori Bot. Lab.","70: 309. f. 6","309","1991"
tro-35213063,B,Aneuraceae,,Aneura,,"giangena",,"","Hewson",Unresolved,,L,TRO,35213063,,"Proc. Linn. Soc. New South Wales","94: 190","190","1970"
tro-35200010,B,Aneuraceae,,Aneura,,"gibbsiana",,"","Stephani",Unresolved,,L,TRO,35200010,,"Sp. Hepat.","6: 28","28","1917"
tro-35200011,B,Aneuraceae,,Aneura,,"gigantea",,"","Stephani",Unresolved,,L,TRO,35200011,,"J. & Proc. Roy. Soc. New South Wales","48: 95","95","1914"
tro-35200012,B,Aneuraceae,,Aneura,,"glaucescens",,"","Stephani",Unresolved,,L,TRO,35200012,,"Sp. Hepat.","6: 28","28","1917"
tro-35200014,B,Aneuraceae,,Aneura,,"goebeliana",,"","Stephani",Unresolved,,L,TRO,35200014,,"Sp. Hepat.","6: 28","28","1917"
tro-35200015,B,Aneuraceae,,Aneura,,"goebelii",,"","Stephani",Unresolved,,L,TRO,35200015,,"Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.","60: 273","273","1893"
tro-35200017,B,Aneuraceae,,Aneura,,"gracilis",,"","Stephani",Unresolved,,L,TRO,35200017,,"Sp. Hepat.","1: 262","262","1899"
tro-35200018,B,Aneuraceae,,Aneura,,"gracillima",,"","Steph.",Unresolved,,L,TRO,35200018,,"Biblioth. Bot.","87: 175. f. 84: f–g","175","1916"
tro-35200020,B,Aneuraceae,,Aneura,,"grandiflora",,"","Stephani",Unresolved,,L,TRO,35200020,,"Sp. Hepat.","6: 29","29","1917"
tro-35200022,B,Aneuraceae,,Aneura,,"grosselimbata",,"","Stephani",Unresolved,,L,TRO,35200022,,"Sp. Hepat.","6: 29","29","1917"
tro-35200061,B,Aneuraceae,,Aneura,,"grossidens",,"","Stephani",Unresolved,,L,TRO,35200061,,"Hedwigia","32: 23","23","1893"
tro-35200062,B,Aneuraceae,,Aneura,,"grossitexta",,"","Stephani",Unresolved,,L,TRO,35200062,,"Sp. Hepat.","6: 29","29","1917"
tro-35200064,B,Aneuraceae,,Aneura,,"hamatiflora",,"","Stephani",Unresolved,,L,TRO,35200064,,"Bull. Herb. Boissier","5: 844","844","1897"
tro-35200065,B,Aneuraceae,,Aneura,,"hawaica",,"","Stephani",Unresolved,,L,TRO,35200065,,"Sp. Hepat.","6: 30","30","1917"
tro-35200067,B,Aneuraceae,,Aneura,,"heteroclada",,"","(Schiffner) Stephani",Accepted,,M,TRO,35200067,,"Sp. Hepat.","1: 239","239","1899"
tro-35206611,B,Aneuraceae,,Aneura,,"hirsuta",,"","Furuki",Accepted,,M,TRO,35206611,,"J. Hattori Bot. Lab.","70: 317. f. 11","317","1991"
tro-35200068,B,Aneuraceae,,Aneura,,"hirtiflora",,"","Stephani",Unresolved,,L,TRO,35200068,,"Arq. Mus. Nac. Rio de Janeiro","13: 116","116","1903"
tro-35200069,B,Aneuraceae,,Aneura,,"holstii",,"","Stephani",Unresolved,,L,TRO,35200069,,"Sp. Hepat.","6: 31","31","1917"
tro-35200071,B,Aneuraceae,,Aneura,,"husteinii",,"","Stephani",Unresolved,,L,TRO,35200071,,"Sp. Hepat.","6: 431","431","1923"
tro-35200073,B,Aneuraceae,,Aneura,,"hymenophylloides",,"","(Schiffner) Stephani",Accepted,,M,TRO,35200073,,"Sp. Hepat.","1: 224","224","1899"
tro-35190647,B,Aneuraceae,,Aneura,,"hymenophytoides",,"","Spruce",Accepted,,M,TRO,35190647,,"Trans. & Proc. Bot. Soc. Edinburgh","15: 549","549","1885"
tro-35200075,B,Aneuraceae,,Aneura,,"imbricata",,"","Colenso",Unresolved,,L,TRO,35200075,,"Trans. & Proc. New Zealand Inst.","16: 359","359","1884"
tro-35200076,B,Aneuraceae,,Aneura,,"inconspicua",,"","Stephani",Unresolved,,L,TRO,35200076,,"Hedwigia","32: 23","23","1893"
tro-35200077,B,Aneuraceae,,Aneura,,"incurvata",,"","(Lindb.) Stephani",Accepted,,M,TRO,35200077,,"Sp. Hepat.","1: 268","268","1899"
tro-35200078,B,Aneuraceae,,Aneura,,"indica",,"","Stephani",Unresolved,,L,TRO,35200078,,"J. Bombay Nat. Hist. Soc.","25: 280","280","1917"
tro-35200079,B,Aneuraceae,,Aneura,,"innovans",,"","Stephani",Unresolved,,L,TRO,35200079,,"Symb. Antill.","2: 470","470","1901"
tro-35200080,B,Aneuraceae,,Aneura,,"intermedia",,"","Stephani",Unresolved,,L,TRO,35200080,,"Sp. Hepat.","1: 233","233","1899"
tro-35200082,B,Aneuraceae,,Aneura,,"jackii",,"","(Schiffner) Stephani",Accepted,,M,TRO,35200082,,"Sp. Hepat.","1: 217","217","1899"
tro-35211904,B,Aneuraceae,,Aneura,,"kaguensis",,"","Hewson",Unresolved,,L,TRO,35211904,,"Proc. Linn. Soc. New South Wales","94: 190. pl. 11: 1–2","190","1970"
tro-35191158,B,Aneuraceae,,Aneura,,"karstenii",,"","Stephani",Unresolved,,L,TRO,35191158,,"Hedwigia","32: 23","23","1893"
tro-35216960,B,Aneuraceae,,Aneura,,"keniae",,"","Gola",Accepted,,M,TRO,35216960,,"Mem. Reale Accad. Sci. Torino, ser. 2,","65: 3","3","1914"
tro-35190600,B,Aneuraceae,,Aneura,,"lamellifera",,"","Steph.",Unresolved,,L,TRO,35190600,,"Biblioth. Bot.","87: 175. f. 84: d–e","175","1916"
tro-35200206,B,Aneuraceae,,Aneura,,"latemultifida",,"","Stephani",Unresolved,,L,TRO,35200206,,"Sp. Hepat.","6: 431","431","1923"
tro-35200207,B,Aneuraceae,,Aneura,,"laticostata",,"","Spruce",Unresolved,,L,TRO,35200207,,"J. Linn. Soc., Bot.","30: 367","367","1895"
tro-35200209,B,Aneuraceae,,Aneura,,"latifrondoides",,"","(Schiffner) Stephani",Accepted,,M,TRO,35200209,,"Sp. Hepat.","1: 260","260","1899"
