ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2614557,A,Polemoniaceae,,Acanthogilia,,"gloriosa",,"","(Bandegee) A.Day & R.C.Moran",Accepted,,M,WCSP (in review),746962,271504-2,"Proc. Calif. Acad. Sci.","IV, 44(7): 115","","1986"
kew-2623468,A,Polemoniaceae,,Aegochloa,,"eryngioides",,"","Benth.",Unresolved,,L,WCSP (in review),755824,688652-1,"Edwards's Bot. Reg.","19: t. 1622","","1833"
kew-2628389,A,Polemoniaceae,,Aliciella,,"caespitosa",,"","(A.Gray) J.M.Porter",Accepted,,M,WCSP (in review),760706,1001830-1,"Aliso","17: 34","","1998"
kew-2902599,A,Polemoniaceae,,Aliciella,,"cliffordii",,"","J.M.Porter",Unresolved,,L,WCSP (in review),1025056,77110383-1,"Phytotaxa","15: 19","","2011"
kew-2628390,A,Polemoniaceae,,Aliciella,,"formosa",,"","(Greene ex Brand) J.M.Porter",Accepted,,M,WCSP (in review),760707,1001828-1,"Aliso","17: 33","","1998"
kew-2628391,A,Polemoniaceae,,Aliciella,,"haydenii",,"","(A.Gray) J.M.Porter",Accepted,,M,WCSP (in review),760708,1001826-1,"Aliso","17: 31","","1998"
kew-2628392,A,Polemoniaceae,,Aliciella,,"haydenii",subsp.,"crandallii","(Rydb.) J.M.Porter",Accepted,,L,WCSP (in review),760709,1001827-1,"Aliso","17: 32","","1998"
kew-2628393,A,Polemoniaceae,,Aliciella,,"heterostyla",,"","(S.Cochrane & A.G.Day) J.M.Porter",Accepted,,M,WCSP (in review),760710,1001834-1,"Aliso","17: 37","","1998"
kew-2628394,A,Polemoniaceae,,Aliciella,,"humillima",,"","(Brand) J.M.Porter",Accepted,,M,WCSP (in review),760711,1001838-1,"Aliso","17: 41","","1998"
kew-2628395,A,Polemoniaceae,,Aliciella,,"hutchinsifolia",,"","(Rydb.) J.M.Porter",Accepted,,M,WCSP (in review),760712,1001832-1,"Aliso","17: 35","","1998"
kew-2628396,A,Polemoniaceae,,Aliciella,,"latifolia",,"","(S.Watson) J.M.Porter",Accepted,,M,WCSP (in review),760713,1001840-1,"Aliso","17: 43","","1998"
kew-2628397,A,Polemoniaceae,,Aliciella,,"latifolia",subsp.,"imperialis","(S.L.Welsh) J.M.Porter",Accepted,,L,WCSP (in review),760714,1001841-1,"Aliso","17: 44","","1998"
kew-2628398,A,Polemoniaceae,,Aliciella,,"leptomeria",,"","(A.Gray) J.M.Porter",Accepted,,M,WCSP (in review),760715,1001835-1,"Aliso","17: 38","","1998"
kew-2628399,A,Polemoniaceae,,Aliciella,,"lottiae",,"","(A.G.Day) J.M.Porter",Accepted,,M,WCSP (in review),760716,1001836-1,"Aliso","17: 40","","1998"
kew-2628400,A,Polemoniaceae,,Aliciella,,"mcvickerae",,"","(M.E.Jones) J.M.Porter",Accepted,,M,WCSP (in review),760717,1001821-1,"Aliso","17: 28","","1998"
kew-2628401,A,Polemoniaceae,,Aliciella,,"micromeria",,"","(A.Gray) J.M.Porter",Accepted,,M,WCSP (in review),760718,1001837-1,"Aliso","17: 40","","1998"
kew-2902598,A,Polemoniaceae,,Aliciella,,"monoensis",,"","J.M.Porter & A.G.Day",Unresolved,,L,WCSP (in review),1025055,77110382-1,"Phytotaxa","15: 16","","2011"
kew-2628402,A,Polemoniaceae,,Aliciella,,"nyensis",,"","(Reveal) J.M.Porter",Accepted,,M,WCSP (in review),760719,1001833-1,"Aliso","17: 36","","1998"
kew-2628403,A,Polemoniaceae,,Aliciella,,"pentstemonoides",,"","(M.E.Jones) J.M.Porter",Accepted,,M,WCSP (in review),760720,1001823-1,"Aliso","17: 30","","1998"
kew-2628404,A,Polemoniaceae,,Aliciella,,"pinnatifida",,"","(Nutt. ex A.Gray) J.M.Porter",Accepted,,M,WCSP (in review),760721,1001820-1,"Aliso","17: 27","","1998"
kew-2628405,A,Polemoniaceae,,Aliciella,,"ripleyi",,"","(Barneby) J.M.Porter",Accepted,,M,WCSP (in review),760722,1001842-1,"Aliso","17: 45","","1998"
kew-2628406,A,Polemoniaceae,,Aliciella,,"sedifolia",,"","(Brandegee) J.M.Porter",Accepted,,L,WCSP (in review),760723,1057746-2,"Aliso","17: 29","","1998"
kew-2628407,A,Polemoniaceae,,Aliciella,,"stenothyrsa",,"","(A.Gray) J.M.Porter",Accepted,,L,WCSP (in review),760724,1001824-1,"Aliso","17: 30","","1998"
kew-2628408,A,Polemoniaceae,,Aliciella,,"subacaulis",,"","(Rydb.) J.M.Porter & L.A.Johnson",Accepted,,M,WCSP (in review),760725,1015847-1,"Aliso","19: 70","","2000"
kew-2628409,A,Polemoniaceae,,Aliciella,,"subnuda",,"","(Torr. ex A.Gray) J.M.Porter",Accepted,,M,WCSP (in review),760726,1202776-2,"Aliso","17: 33","","1998"
kew-2628410,A,Polemoniaceae,,Aliciella,,"tenuis",,"","(F.J.Sm. & Neese) J.M.Porter",Accepted,,M,WCSP (in review),760727,1001831-1,"Aliso","17: 35","","1998"
kew-2628411,A,Polemoniaceae,,Aliciella,,"triodon",,"","(Eastw.) Brand",Accepted,,M,WCSP (in review),760728,8446-2,"Helios","22, repr.: 12","","1905"
kew-2629201,A,Polemoniaceae,,Allophyllum,,"divaricatum",,"","(Nutt.) A.D.Grant & V.E.Grant",Accepted,,M,WCSP (in review),761368,9111-2,"Aliso","3: 101","","1955"
kew-2629202,A,Polemoniaceae,,Allophyllum,,"gilioides",,"","(Benth.) A.D.Grant & V.E.Grant",Accepted,,M,WCSP (in review),761369,9112-2,"Aliso","3: 105","","1955"
kew-2629203,A,Polemoniaceae,,Allophyllum,,"gilioides",subsp.,"violaceum","(A.Heller) A.G.Day",Accepted,,L,WCSP (in review),761370,975286-1,"Novon","3: 331","","1993"
kew-2629204,A,Polemoniaceae,,Allophyllum,,"glutinosum",,"","(Benth.) A.D.Grant & V.E.Grant",Accepted,,M,WCSP (in review),761371,9113-2,"Aliso","3: 104","","1955"
kew-2629205,A,Polemoniaceae,,Allophyllum,,"integrifolium",,"","(Brand) A.D.Grant & V.E.Grant",Accepted,,M,WCSP (in review),761372,9114-2,"Aliso","3: 102","","1955"
kew-2629206,A,Polemoniaceae,,Allophyllum,,"leptaleum",,"","(A.Gray) A.G.Day & V.E.Grant",Unresolved,,L,WCSP (in review),761373,1012413-1,"Phytologia","84: 375","","1998 publ. 1999"
kew-2629208,A,Polemoniaceae,,Allophyllum,,"nemophilophyllum",,"","J.M.Porter & L.A.Johnson",Accepted,,M,WCSP (in review),761375,1015835-1,"Aliso","19: 64","","2000"
kew-2629210,A,Polemoniaceae,,Allophyllum,,"sinistrum",subsp.,"pinnatisectum","(H.Mason & A.D.Grant) A.G.Day & V.E.Grant",Unresolved,,L,WCSP (in review),761377,1012416-1,"Phytologia","84: 376","","1998 publ. 1999"
kew-2671008,A,Polemoniaceae,,Batanthes,,"aggregata",,"","(Pursh) Raf.",Unresolved,,L,WCSP (in review),802876,688690-1,"Atlantic J.","1: 145","","1832"
kew-2671010,A,Polemoniaceae,,Batanthes,,"attenuata",,"","(A.Gray) Greene",Unresolved,,L,WCSP (in review),802878,29877-2,"Leafl. Bot. Observ. Crit.","1: 224","","1906"
kew-2671012,A,Polemoniaceae,,Batanthes,,"collina",,"","(Greene) Greene",Unresolved,,L,WCSP (in review),802880,29879-2,"Leafl. Bot. Observ. Crit.","1: 224","","1906"
kew-2671016,A,Polemoniaceae,,Batanthes,,"longiflora",,"","(Torr.) Raf.",Unresolved,,L,WCSP (in review),802884,688698-1,"Atlantic J.","1: 145","","1832"
kew-2671019,A,Polemoniaceae,,Batanthes,,"scopulorum",,"","Greene",Unresolved,,L,WCSP (in review),802887,29884-2,"Leafl. Bot. Observ. Crit.","1: 224","","1906"
kew-2679546,A,Polemoniaceae,,Bonplandia,,"geminiflora",,"","Cav.",Accepted,,M,WCSP (in review),811271,688703-1,"Anales Hist. Nat.","2: 132","","1800"
