ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35215174,B,Cephaloziellaceae,,Allisoniella,,"nigra",,"","(Rodway) R.M. Schust.",Accepted,,M,TRO,35215174,,"Nova Hedwigia","22: 137","137","1972"
tro-35207649,B,Cephaloziellaceae,,Allisoniella,,"recurva",,"","R.M. Schust.",Unresolved,,L,TRO,35207649,,"Nova Hedwigia","12: 146","146","1972"
tro-35208372,B,Cephaloziellaceae,,Allisoniella,,"subbipartita",,"","(C. Massal.) R.M. Schust. & J.J. Engel",Accepted,,M,TRO,35208372,,"Nova Hedwigia","22: 147","147","1972"
tro-35217855,B,Cephaloziellaceae,,Amphicephalozia,,"africana",,"","Váňa & Wigginton",Accepted,,M,TRO,35217855,,"J. Bryol.","30: 55","55","2008"
tro-35210170,B,Cephaloziellaceae,,Amphicephalozia,,"geisslerae",,"","Pocs & Váňa",Accepted,,M,TRO,35210170,,"Polish Bot. J.","46: 145","145","2001"
tro-35207453,B,Cephaloziellaceae,,Cephalojonesia,,"incuba",,"","Grolle & Vanden Berghen",Accepted,,M,TRO,35207453,,"Rev. Bryol. Lichénol.","37: 764. pl. 1–2","764","1970"
tro-35190233,B,Cephaloziellaceae,,Cephalomitrion,,"aterrimum",,"","(Stephani) R.M. Schust.",Accepted,,M,TRO,35190233,,"Nova Hedwigia","61: 554","554","1995"
tro-35216310,B,Cephaloziellaceae,,Cephaloziella,,"abyssinica",,"","Gola",Unresolved,,L,TRO,35216310,,"Ann. Bot. (Rome)","13: 68","68","1914"
tro-35209624,B,Cephaloziellaceae,,Cephaloziella,,"acanthophora",,"","(S. Hatt.) S. Hatt.",Accepted,,M,TRO,35209624,,"J. Hattori Bot. Lab.","7: 43","43","1952"
tro-35200571,B,Cephaloziellaceae,,Cephaloziella,,"aenigmatica",,"","R.M. Schust.",Accepted,,M,TRO,35200571,,"Nova Hedwigia","63: 20. f. 2","20","1996"
tro-35202894,B,Cephaloziellaceae,,Cephaloziella,,"anthelioides",,"","S.W. Arnell",Unresolved,,L,TRO,35202894,,"Bot. Not.","1952: 322","322","1952"
tro-35211242,B,Cephaloziellaceae,,Cephaloziella,,"antillana",,"","(Besch. & Spruce) Fulford",Accepted,,M,TRO,35211242,,"Mem. New York Bot. Gard.","11: 405","405","1976"
tro-35184936,B,Cephaloziellaceae,,Cephaloziella,,"arctica",,"","Bryhn & Douin",Accepted,,M,TRO,35184936,,"Lebermoose","2: 159","159","1913"
tro-35189291,B,Cephaloziellaceae,,Cephaloziella,,"arctogena",,"","(R.M. Schust.) Konstantinova",Accepted,,M,TRO,35189291,,"Arctoa","3: 126","126","1994"
