ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2683560,A,Fouquieriaceae,,Bronnia,,"duguetii",,"","Tiegh.",Unresolved,,L,WCSP (in review),815246,827942-1,"J. Bot. (Morot)","13: 297","","1899"
kew-2683562,A,Fouquieriaceae,,Bronnia,,"thiebautii",,"","Tiegh.",Unresolved,,L,WCSP (in review),815248,37247-2,"J. Bot. (Morot)","13: 297","","1899"
kew-2813816,A,Fouquieriaceae,,Fouquieria,,"burragei",,"","Rose",Accepted,,M,WCSP (in review),941322,105425-2,"J. New York Bot. Gard.","12: 267","","1911"
kew-2813818,A,Fouquieriaceae,,Fouquieria,,"columnaris",,"","(C.Kellogg) Kellogg ex Curran",Accepted,,M,WCSP (in review),941324,827951-1,"Bull. Calif. Acad. Sci.","1(3): 133","","1885"
kew-2813819,A,Fouquieriaceae,,Fouquieria,,"diguetii",,"","(Tiegh.) I.M.Johnst.",Accepted,,M,WCSP (in review),941325,105427-2,"Contr. Gray Herb.","75: 30","","1925"
kew-2813820,A,Fouquieriaceae,,Fouquieria,,"fasciculata",,"","(Willd. ex Roem. & Schult.) Nash",Accepted,,M,WCSP (in review),941326,105428-2,"Bull. Torrey Bot. Club","30: 452","","1903"
kew-2813821,A,Fouquieriaceae,,Fouquieria,,"formosa",,"","Kunth",Accepted,,M,WCSP (in review),941327,827953-1,"Nov. Gen. Sp.","6: 83","","1823"
kew-2813824,A,Fouquieriaceae,,Fouquieria,,"leonilae",,"","Miranda",Accepted,,M,WCSP (in review),941330,105431-2,"Bol. Soc. Bot. México","26: 127","","1961"
kew-2813825,A,Fouquieriaceae,,Fouquieria,,"macdougalii",,"","Nash",Accepted,,M,WCSP (in review),941331,105432-2,"Bull. Torrey Bot. Club","30: 454","","1903"
kew-2813826,A,Fouquieriaceae,,Fouquieria,,"ochoterenae",,"","Miranda",Accepted,,M,WCSP (in review),941332,105433-2,"Anales Inst. Biol. Univ. Nac. México","13: 458","","1942"
kew-2813828,A,Fouquieriaceae,,Fouquieria,,"purpusii",,"","Brandegee",Accepted,,M,WCSP (in review),941334,366192-1,"Univ. Calif. Publ. Bot.","3: 386","","1909"
kew-2813829,A,Fouquieriaceae,,Fouquieria,,"shrevei",,"","I.M.Johnst.",Accepted,,M,WCSP (in review),941335,105436-2,"J. Arnold Arbor.","20: 238","","1939"
kew-2813831,A,Fouquieriaceae,,Fouquieria,,"splendens",,"","Engelm.",Accepted,,M,WCSP (in review),941337,105437-2,"Mem. Tour N. Mexico","98","","1848"
kew-2813835,A,Fouquieriaceae,,Fouquieria,,"splendens",subsp.,"campanulata","(Nash) Henr.",Accepted,,L,WCSP (in review),941341,,"Aliso","7: 517","","1972"
tro-13400007,A,Fouquieriaceae,,Idria,,"columnaris",,"","Kellogg",Accepted,,M,TRO,13400007,,"Hesperian (Columbus)","4: 101, pl. sn","101","1860"
